缺陷类型,编号,标题,状态,状态分类,优先级,处理人,负责人
硬件缺陷,195754,W1149 AI hub show【专项】【EVT】【第一轮】【蓝牙拉距（海边）】N52833测试距离60m，AI hub距离40m，比AI hub好，但不满足参考指标>200m； AP6212测试距离为<1m，AI hub AP6611距离为10m，比AI hub差且不满足参考指标>200m；,待评审,in_progress,普通,杨翔宇,陈娜
硬件缺陷,195755,W1149 AI hub show【专项】【EVT】【第一轮】【wifi拉距（海边）】AI Hub与AI Hub Show近距离画面加载均不流畅； 30m距离，AI Hub Show信号强度比AI Hub差，画面加载时长比AI Hub快；,待评审,in_progress,普通,杨翔宇,陈娜
硬件缺陷,195756,MIPI_AVDD_0V9纹波2实测28mV＞0.9V*3%,待评审,in_progress,普通,杨翔宇,程方均
硬件缺陷,195757,X2频偏在13.8-14.4ppm，不满足24M±10ppm,下一版本修复,in_progress,普通,杨翔宇,程方均
硬件缺陷,195758,W1149 AI hub show【专项】【EVT】【第一轮】【wifi拉距（出租屋）】AI Hub Show在出租屋三个房间历史事件画面流畅；加载时长>15s+，不满足加载时长<5s；,下一版本修复,in_progress,较高,杨翔宇,陈娜
硬件缺陷,195759,W1149 AI hub show【专项】【EVT】【第一轮】【高温高湿测试（单屏幕）】高温高湿测试后，屏幕下方有色差，屏幕中间有一条斜纹；,待评审,in_progress,普通,杨翔宇,陈娜
硬件缺陷,195760,W1149 AI hub show【专项】【EVT】【第一轮】【触摸多点触控测试】操控缩放不流畅,待评审,in_progress,较高,杨翔宇,陈娜
硬件缺陷,195761,W1149 AI hub show【专项】【EVT】【第一轮】【雷达探测距离】触发距离设置1m/3m/5m，实测触发距离均不满足参考指标目标距离±10%,待评审,in_progress,较高,杨翔宇,陈娜
硬件缺陷,195762,"W1149 AI hub show【专项】【EVT】【第一轮】【光感性能（常温）】光照等级1~10级（0~100lux），每级ADC采样电压差异仅2~3mV,不满足参考指标每级差异>10mV; 光照1000lux，ADC采样电压仅0.274V;",待评审,in_progress,较高,韩亚男,陈娜
硬件缺陷,195773,W1149 AI hub show【专项】【EVT】【第二轮】【雷达探测距离】模拟挂墙上1.3m_水平摆放：右60°为4m，不满足参考指标5m±0.5m/样机安装支架，水平倾斜放置桌面0.8m：右60°为3m，不满足参考指标5m±0.5m；,待评审,in_progress,普通,李亚龙,陈娜
硬件缺陷,195777,W1149 AI hub show【模块】【EVT】【主板V03】【第一轮】【VDD_5V】VDD_5V波形，不带载关闭直流源时会在2.5V左右出现25ms左右的台阶,待评审,in_progress,普通,杨翔宇,伍然
硬件缺陷,195778,W1149 AI hub show【模块】【EVT】【主板V03】【第一轮】【WIFI/BLE U6000_M8821CS1 方案二】WIFI_WAKE_HOST_H波形，上下电没有波形,待评审,in_progress,普通,杨翔宇,伍然
硬件缺陷,195779,W1149 AI hub show【模块】【EVT】【主板V03】【第一轮】【WIFI/BLE U6000_M8821CS1 方案二】VCC3V3_WL_VBAT纹波，纹波在110mV左右，比预期3.3V*3%大,待评审,in_progress,普通,杨翔宇,伍然
硬件缺陷,195780,W1149 AI hub show【模块】【EVT】【主板V03】【第一轮】【IR_U6114_TMI3253SH】VDD_IR_5V波形，不带载时关闭电源，在3V左右存在27ms左右的台阶,待评审,in_progress,普通,杨翔宇,伍然
